Country,Indicator,Year,Sex,Age,Value
Global,"Estimated incidence rate (new HIV infection per 1,000 uninfected population)",1990,Both,Age 0-14,0.35
Global,"Estimated incidence rate (new HIV infection per 1,000 uninfected population)",1990,Both,Age 10-19,0.47
Global,"Estimated incidence rate (new HIV infection per 1,000 uninfected population)",1990,Female,Age 0-14,0.35
Global,"Estimated incidence rate (new HIV infection per 1,000 uninfected population)",1990,Female,Age 10-19,0.68
Global,"Estimated incidence rate (new HIV infection per 1,000 uninfected population)",1990,Male,Age 0-14,0.34
Global,"Estimated incidence rate (new HIV infection per 1,000 uninfected population)",1990,Male,Age 10-19,0.28
Global,"Estimated incidence rate (new HIV infection per 1,000 uninfected population)",1991,Both,Age 0-14,0.41
Global,"Estimated incidence rate (new HIV infection per 1,000 uninfected population)",1991,Both,Age 10-19,0.55
Global,"Estimated incidence rate (new HIV infection per 1,000 uninfected population)",1991,Female,Age 0-14,0.41
Global,"Estimated incidence rate (new HIV infection per 1,000 uninfected population)",1991,Female,Age 10-19,0.79
Global,"Estimated incidence rate (new HIV infection per 1,000 uninfected population)",1991,Male,Age 0-14,0.40
Global,"Estimated incidence rate (new HIV infection per 1,000 uninfected population)",1991,Male,Age 10-19,0.31
Global,"Estimated incidence rate (new HIV infection per 1,000 uninfected population)",1992,Both,Age 0-14,0.47
Global,"Estimated incidence rate (new HIV infection per 1,000 uninfected population)",1992,Both,Age 10-19,0.61
Global,"Estimated incidence rate (new HIV infection per 1,000 uninfected population)",1992,Female,Age 0-14,0.48
Global,"Estimated incidence rate (new HIV infection per 1,000 uninfected population)",1992,Female,Age 10-19,0.89
Global,"Estimated incidence rate (new HIV infection per 1,000 uninfected population)",1992,Male,Age 0-14,0.47
Global,"Estimated incidence rate (new HIV infection per 1,000 uninfected population)",1992,Male,Age 10-19,0.33
Global,"Estimated incidence rate (new HIV infection per 1,000 uninfected population)",1993,Both,Age 0-14,0.54
Global,"Estimated incidence rate (new HIV infection per 1,000 uninfected population)",1993,Both,Age 10-19,0.64
Global,"Estimated incidence rate (new HIV infection per 1,000 uninfected population)",1993,Female,Age 0-14,0.55
Global,"Estimated incidence rate (new HIV infection per 1,000 uninfected population)",1993,Female,Age 10-19,0.97
Global,"Estimated incidence rate (new HIV infection per 1,000 uninfected population)",1993,Male,Age 0-14,0.53
Global,"Estimated incidence rate (new HIV infection per 1,000 uninfected population)",1993,Male,Age 10-19,0.33
Global,"Estimated incidence rate (new HIV infection per 1,000 uninfected population)",1994,Both,Age 0-14,0.60
Global,"Estimated incidence rate (new HIV infection per 1,000 uninfected population)",1994,Both,Age 10-19,0.67
Global,"Estimated incidence rate (new HIV infection per 1,000 uninfected population)",1994,Female,Age 0-14,0.61
Global,"Estimated incidence rate (new HIV infection per 1,000 uninfected population)",1994,Female,Age 10-19,1.03
Global,"Estimated incidence rate (new HIV infection per 1,000 uninfected population)",1994,Male,Age 0-14,0.59
Global,"Estimated incidence rate (new HIV infection per 1,000 uninfected population)",1994,Male,Age 10-19,0.33
Global,"Estimated incidence rate (new HIV infection per 1,000 uninfected population)",1995,Both,Age 0-14,0.65
Global,"Estimated incidence rate (new HIV infection per 1,000 uninfected population)",1995,Both,Age 10-19,0.68
