,Region,year,value,Age,type
0,Asia and the Pacific,1999,22000,People aged 50 and over,AIDS-related deaths
1,Caribbean,1999,2900,People aged 50 and over,AIDS-related deaths
2,East and Southern Africa,1999,91000,People aged 50 and over,AIDS-related deaths
3,Eastern Europe and Central Asia,1999,1600,People aged 50 and over,AIDS-related deaths
4,Latin America,1999,6000,People aged 50 and over,AIDS-related deaths
5,Middle East and North Africa,1999,499,People aged 50 and over,AIDS-related deaths
6,West and Central Africa,1999,37000,People aged 50 and over,AIDS-related deaths
7,Western & Central Europe and North America,1999,5100,People aged 50 and over,AIDS-related deaths
8,Global,1999,170000,People aged 50 and over,AIDS-related deaths
9,Asia and the Pacific,2000,27000,People aged 50 and over,AIDS-related deaths
10,Caribbean,2000,3100,People aged 50 and over,AIDS-related deaths
11,East and Southern Africa,2000,100000,People aged 50 and over,AIDS-related deaths
12,Eastern Europe and Central Asia,2000,2000,People aged 50 and over,AIDS-related deaths
13,Latin America,2000,6500,People aged 50 and over,AIDS-related deaths
14,Middle East and North Africa,2000,499,People aged 50 and over,AIDS-related deaths
15,West and Central Africa,2000,40000,People aged 50 and over,AIDS-related deaths
16,Western & Central Europe and North America,2000,5800,People aged 50 and over,AIDS-related deaths
17,Global,2000,180000,People aged 50 and over,AIDS-related deaths
18,Asia and the Pacific,2001,32000,People aged 50 and over,AIDS-related deaths
19,Caribbean,2001,3300,People aged 50 and over,AIDS-related deaths
20,East and Southern Africa,2001,110000,People aged 50 and over,AIDS-related deaths
21,Eastern Europe and Central Asia,2001,2400,People aged 50 and over,AIDS-related deaths
22,Latin America,2001,6700,People aged 50 and over,AIDS-related deaths
23,Middle East and North Africa,2001,999,People aged 50 and over,AIDS-related deaths
24,West and Central Africa,2001,43000,People aged 50 and over,AIDS-related deaths
25,Western & Central Europe and North America,2001,6300,People aged 50 and over,AIDS-related deaths
26,Global,2001,200000,People aged 50 and over,AIDS-related deaths
27,Asia and the Pacific,2002,37000,People aged 50 and over,AIDS-related deaths
28,Caribbean,2002,3400,People aged 50 and over,AIDS-related deaths
29,East and Southern Africa,2002,120000,People aged 50 and over,AIDS-related deaths
30,Eastern Europe and Central Asia,2002,2900,People aged 50 and over,AIDS-related deaths
31,Latin America,2002,6900,People aged 50 and over,AIDS-related deaths
32,Middle East and North Africa,2002,999,People aged 50 and over,AIDS-related deaths
33,West and Central Africa,2002,45000,People aged 50 and over,AIDS-related deaths
34,Western & Central Europe and North America,2002,6300,People aged 50 and over,AIDS-related deaths
35,Global,2002,220000,People aged 50 and over,AIDS-related deaths
36,Asia and the Pacific,2003,41000,People aged 50 and over,AIDS-related deaths
37,Caribbean,2003,3400,People aged 50 and over,AIDS-related deaths
38,East and Southern Africa,2003,120000,People aged 50 and over,AIDS-related deaths
39,Eastern Europe and Central Asia,2003,3500,People aged 50 and over,AIDS-related deaths
40,Latin America,2003,7100,People aged 50 and over,AIDS-related deaths
41,Middle East and North Africa,2003,999,People aged 50 and over,AIDS-related deaths
42,West and Central Africa,2003,47000,People aged 50 and over,AIDS-related deaths
43,Western & Central Europe and North America,2003,6300,People aged 50 and over,AIDS-related deaths
44,Global,2003,230000,People aged 50 and over,AIDS-related deaths
45,Asia and the Pacific,2004,45000,People aged 50 and over,AIDS-related deaths
46,Caribbean,2004,3400,People aged 50 and over,AIDS-related deaths
47,East and Southern Africa,2004,120000,People aged 50 and over,AIDS-related deaths
48,Eastern Europe and Central Asia,2004,4200,People aged 50 and over,AIDS-related deaths
49,Latin America,2004,7100,People aged 50 and over,AIDS-related deaths
50,Middle East and North Africa,2004,999,People aged 50 and over,AIDS-related deaths
51,West and Central Africa,2004,48000,People aged 50 and over,AIDS-related deaths
52,Western & Central Europe and North America,2004,6400,People aged 50 and over,AIDS-related deaths
53,Global,2004,240000,People aged 50 and over,AIDS-related deaths
54,Asia and the Pacific,2005,48000,People aged 50 and over,AIDS-related deaths
55,Caribbean,2005,3300,People aged 50 and over,AIDS-related deaths
56,East and Southern Africa,2005,120000,People aged 50 and over,AIDS-related deaths
57,Eastern Europe and Central Asia,2005,4900,People aged 50 and over,AIDS-related deaths
58,Latin America,2005,7400,People aged 50 and over,AIDS-related deaths
59,Middle East and North Africa,2005,999,People aged 50 and over,AIDS-related deaths
60,West and Central Africa,2005,45000,People aged 50 and over,AIDS-related deaths
61,Western & Central Europe and North America,2005,6600,People aged 50 and over,AIDS-related deaths
62,Global,2005,230000,People aged 50 and over,AIDS-related deaths
63,Asia and the Pacific,2006,48000,People aged 50 and over,AIDS-related deaths
64,Caribbean,2006,2900,People aged 50 and over,AIDS-related deaths
65,East and Southern Africa,2006,110000,People aged 50 and over,AIDS-related deaths
66,Eastern Europe and Central Asia,2006,5400,People aged 50 and over,AIDS-related deaths
67,Latin America,2006,7700,People aged 50 and over,AIDS-related deaths
68,Middle East and North Africa,2006,1100,People aged 50 and over,AIDS-related deaths
69,West and Central Africa,2006,42000,People aged 50 and over,AIDS-related deaths
70,Western & Central Europe and North America,2006,6800,People aged 50 and over,AIDS-related deaths
71,Global,2006,220000,People aged 50 and over,AIDS-related deaths
72,Asia and the Pacific,2007,46000,People aged 50 and over,AIDS-related deaths
73,Caribbean,2007,2500,People aged 50 and over,AIDS-related deaths
74,East and Southern Africa,2007,94000,People aged 50 and over,AIDS-related deaths
